market,symbol,quote_symbol,display_name,universe_tags
BIST,ATSYH,ATSYH.IS,ATLANTİS YATIRIM HOLDİNG A.Ş.,BIST
BIST,AVGYO,AVGYO.IS,AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,AVHOL,AVHOL.IS,AVRUPA YATIRIM HOLDİNG A.Ş.,BIST
BIST,AVOD,AVOD.IS,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,BIST
BIST,AVTUR,AVTUR.IS,AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,BIST
BIST,AYCES,AYCES.IS,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,BIST
BIST,AYDEM,AYDEM.IS,AYDEM YENİLENEBİLİR ENERJİ A.Ş.,BIST
BIST,AYEN,AYEN.IS,AYEN ENERJİ A.Ş.,BIST
BIST,AYES,AYES.IS,AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.,BIST
BIST,AYGAZ,AYGAZ.IS,AYGAZ A.Ş.,BIST
BIST,AZTEK,AZTEK.IS,AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,BIST
BIST,BAGFS,BAGFS.IS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,BIST
BIST,BAKAB,BAKAB.IS,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,BIST
BIST,BALAT,BALAT.IS,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,BIST
BIST,BANVT,BANVT.IS,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİİ A.Ş.,BIST
BIST,BARMA,BARMA.IS,BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,BIST
BIST,BASCM,BASCM.IS,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,BIST
BIST,BASGZ,BASGZ.IS,BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,BAYRK,BAYRK.IS,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,BIST
BIST,BERA,BERA.IS,BERA HOLDİNG A.Ş.,BIST
BIST,BEYAZ,BEYAZ.IS,BEYAZ FİLO OTO KİRALAMA A.Ş.,BIST
