market,symbol,quote_symbol,display_name,universe_tags
NASDAQ,RICK,RICK,"RCI Hospitality Holdings, Inc. - Common Stock",NASDAQ
NASDAQ,RIGL,RIGL,"Rigel Pharmaceuticals, Inc. - Common Stock",NASDAQ
NASDAQ,RILY,RILY,"BRC Group Holdings, Inc. - Common Stock",NASDAQ
NASDAQ,RIME,RIME,"Algorhythm Holdings, Inc. - Common Stock",NASDAQ
NASDAQ,RIOT,RIOT,"Riot Platforms, Inc. - Common Stock",NASDAQ
NASDAQ,RITR,RITR,Reitar Logtech Holdings Limited - Ordinary shares,NASDAQ
NASDAQ,RIVN,RIVN,"Rivian Automotive, Inc. - Class A Common Stock",NASDAQ
NASDAQ,RJET,RJET,Republic Airways Holdings Inc. - Common Stock,NASDAQ
NASDAQ,RKDA,RKDA,"Arcadia Biosciences, Inc. - Common Stock",NASDAQ
NASDAQ,RKLB,RKLB,Rocket Lab Corporation - Common Stock,NASDAQ
NASDAQ,RLAY,RLAY,"Relay Therapeutics, Inc. - Common Stock",NASDAQ
NASDAQ,RLMD,RLMD,"Relmada Therapeutics, Inc. - Common Stock",NASDAQ
NASDAQ,RLYB,RLYB,Rallybio Corporation - Common Stock,NASDAQ
NASDAQ,RMBI,RMBI,"Richmond Mutual Bancorporation, Inc. - Common Stock",NASDAQ
NASDAQ,RMBS,RMBS,"Rambus, Inc. - Common Stock",NASDAQ
NASDAQ,RMCF,RMCF,"Rocky Mountain Chocolate Factory, Inc. - Common Stock",NASDAQ
NASDAQ,RMCO,RMCO,Royalty Management Holding Corporation - Class A Common Stock,NASDAQ
NASDAQ,RMIX,RMIX,"Suncrete, Inc. - Class A Common Stock",NASDAQ
NASDAQ,RMNI,RMNI,"Rimini Street, Inc. - Common Stock",NASDAQ
NASDAQ,RMR,RMR,The RMR Group Inc. - Class A Common Stock,NASDAQ
NASDAQ,RMSG,RMSG,Real Messenger Corporation - Ordinary Shares,NASDAQ
NASDAQ,RMTI,RMTI,"Rockwell Medical, Inc. - Common Stock",NASDAQ
NASDAQ,RNA,RNA,"Atrium Therapeutics, Inc. - Common Stock",NASDAQ
NASDAQ,RNAC,RNAC,"Cartesian Therapeutics, Inc. - Common Stock",NASDAQ
NASDAQ,RNAZ,RNAZ,"TransCode Therapeutics, Inc. - Common Stock",NASDAQ
NASDAQ,RNGT,RNGT,Range Capital Acquisition Corp II - Class A Ordinary Shares,NASDAQ
NASDAQ,RNTX,RNTX,"Rein Therapeutics, Inc. - Common Stock",NASDAQ
NASDAQ,RNXT,RNXT,"RenovoRx, Inc. - Common Stock",NASDAQ
NASDAQ,ROAD,ROAD,"Construction Partners, Inc. - Common Stock",NASDAQ
NASDAQ,ROC,ROC,Rank One Computing Corporation - Common stock,NASDAQ
NASDAQ,ROCK,ROCK,"Gibraltar Industries, Inc. - Common Stock",NASDAQ
NASDAQ,ROIV,ROIV,Roivant Sciences Ltd. - Common Shares,NASDAQ
NASDAQ,ROKU,ROKU,"Roku, Inc. - Class A Common Stock",NASDAQ
NASDAQ,ROMA,ROMA,Roma Green Finance Limited - Class A Ordinary Shares,NASDAQ
NASDAQ,ROOT,ROOT,"Root, Inc. - Common Stock",NASDAQ
NASDAQ,ROP,ROP,"Roper Technologies, Inc. - Common Stock",NASDAQ;SP500
NASDAQ,ROST,ROST,"Ross Stores, Inc. - Common Stock",NASDAQ;SP500
NASDAQ,RPAY,RPAY,Repay Holdings Corporation - Class A Common Stock,NASDAQ
NASDAQ,RPGL,RPGL,Republic Power Group Limited - Class A Ordinary Shares,NASDAQ
NASDAQ,RPID,RPID,"Rapid Micro Biosystems, Inc. - Class A Common Stock",NASDAQ
NASDAQ,RPRX,RPRX,Royalty Pharma plc - Class A Ordinary Shares,NASDAQ
NASDAQ,RR,RR,Richtech Robotics Inc. - Class B Common Stock,NASDAQ
NASDAQ,RRBI,RRBI,"Red River Bancshares, Inc. - Common Stock",NASDAQ
NASDAQ,RRGB,RRGB,"Red Robin Gourmet Burgers, Inc. - Common Stock",NASDAQ
NASDAQ,RRR,RRR,"Red Rock Resorts, Inc. - Class A Common Stock",NASDAQ
NASDAQ,RSSS,RSSS,"Research Solutions, Inc - Common Stock",NASDAQ
NASDAQ,RSVR,RSVR,"Reservoir Media, Inc.. - Common Stock",NASDAQ
NASDAQ,RTAC,RTAC,Renatus Tactical Acquisition Corp I - Class A Ordinary Shares,NASDAQ
NASDAQ,RUBI,RUBI,Rubico Inc. - Common Stock,NASDAQ
NASDAQ,RUM,RUM,Rumble Inc. - Class A Common Stock,NASDAQ
NASDAQ,RUN,RUN,Sunrun Inc. - Common Stock,NASDAQ
NASDAQ,RUSHA,RUSHA,"Rush Enterprises, Inc. - Class A Common Stock",NASDAQ
NASDAQ,RUSHB,RUSHB,"Rush Enterprises, Inc. - Class B Common Stock",NASDAQ
NASDAQ,RVMD,RVMD,"Revolution Medicines, Inc. - Common Stock",NASDAQ
NASDAQ,RVPH,RVPH,"Reviva Pharmaceuticals Holdings, Inc. - Common Stock",NASDAQ
NASDAQ,RVSB,RVSB,Riverview Bancorp Inc - Common Stock,NASDAQ
NASDAQ,RVSN,RVSN,Rail Vision Ltd. - Ordinary Shares,NASDAQ
NASDAQ,RVYL,RVYL,Ryvyl Inc. - Common Stock,NASDAQ
NASDAQ,RWAY,RWAY,Runway Growth Finance Corp. - Common Stock,NASDAQ
NASDAQ,RXRX,RXRX,"Recursion Pharmaceuticals, Inc. - Class A Common Stock",NASDAQ
NASDAQ,RXST,RXST,"RxSight, Inc. - Common Stock",NASDAQ
NASDAQ,RXT,RXT,"Rackspace Technology, Inc. - Common Stock",NASDAQ
NASDAQ,RYAAY,RYAAY,"Ryanair Holdings plc - American Depositary Shares, each representing five Ordinary Shares",NASDAQ
NASDAQ,RYET,RYET,Ruanyun Edai Technology Inc. - Ordinary shares,NASDAQ
NASDAQ,RYM,RYM,"RYTHM, Inc. - Common Stock",NASDAQ
NASDAQ,RYOJ,RYOJ,"rYojbaba Co., Ltd. - Common Shares",NASDAQ
NASDAQ,RYTM,RYTM,"Rhythm Pharmaceuticals, Inc. - Common Stock",NASDAQ
NASDAQ,RZLT,RZLT,"Rezolute, Inc. - Common Stock (NV)",NASDAQ
NASDAQ,RZLV,RZLV,Rezolve AI PLC - Ordinary Shares,NASDAQ
NASDAQ,SAAQ,SAAQ,Space Asset Acquisition Corp. - Class A Ordinary Shares,NASDAQ
NASDAQ,SABR,SABR,Sabre Corporation - Common Stock,NASDAQ
NASDAQ,SABS,SABS,"SAB Biotherapeutics, Inc. - Common Stock",NASDAQ
NASDAQ,SAFT,SAFT,"Safety Insurance Group, Inc. - Common Stock",NASDAQ
NASDAQ,SAFX,SAFX,"XCF Global, Inc. - Class A Common Stock",NASDAQ
NASDAQ,SAGT,SAGT,SAGTEC GLOBAL LIMITED - Class A Ordinary shares,NASDAQ
NASDAQ,SAIA,SAIA,"Saia, Inc. - Common Stock",NASDAQ
NASDAQ,SAIC,SAIC,Science Applications International Corporation - Common Stock,NASDAQ
NASDAQ,SAIH,SAIH,SAIHEAT Limited - Class A Ordinary Shares,NASDAQ
NASDAQ,SAIL,SAIL,"SailPoint, Inc. - Common Stock",NASDAQ
NASDAQ,SAMG,SAMG,Silvercrest Asset Management Group Inc. - Common Stock,NASDAQ
NASDAQ,SANA,SANA,"Sana Biotechnology, Inc. - Common Stock",NASDAQ
NASDAQ,SANG,SANG,Sangoma Technologies Corporation - Common Shares,NASDAQ
NASDAQ,SANM,SANM,Sanmina Corporation - Common Stock,NASDAQ
NASDAQ,SATL,SATL,Satellogic Inc. - Class A Common Stock,NASDAQ
NASDAQ,SATS,SATS,EchoStar Corporation - Common stock,NASDAQ;SP500
NASDAQ,SBAC,SBAC,SBA Communications Corporation - Class A Common Stock,NASDAQ;SP500
NASDAQ,SBC,SBC,SBC Medical Group Holdings Incorporated - Common Stock,NASDAQ
NASDAQ,SBCF,SBCF,Seacoast Banking Corporation of Florida - Common Stock,NASDAQ
NASDAQ,SBET,SBET,"Sharplink, Inc. - Common Stock",NASDAQ
NASDAQ,SBFG,SBFG,"SB Financial Group, Inc. - Common Stock",NASDAQ
NASDAQ,SBFM,SBFM,Sunshine Biopharma Inc. - Common stock,NASDAQ
NASDAQ,SBGI,SBGI,"Sinclair, Inc. - Class A Common Stock",NASDAQ
NASDAQ,SBLK,SBLK,Star Bulk Carriers Corp. - Common Shares,NASDAQ
NASDAQ,SBLX,SBLX,"StableX Technologies, Inc. - Common Stock",NASDAQ
NASDAQ,SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",NASDAQ
NASDAQ,SBUX,SBUX,Starbucks Corporation - Common Stock,NASDAQ;SP500
NASDAQ,SCAG,SCAG,Scage Future - American Depositary Shares,NASDAQ
NASDAQ,SCHL,SCHL,Scholastic Corporation - Common Stock,NASDAQ
NASDAQ,SCII,SCII,SC II Acquisition Corp. - Class A ordinary share,NASDAQ
NASDAQ,SCKT,SCKT,"Socket Mobile, Inc. - Common Stock",NASDAQ
NASDAQ,SCLX,SCLX,Scilex Holding Company - Common Stock,NASDAQ
NASDAQ,SCNI,SCNI,Scinai Immunotherapeutics Ltd. - American Depositary Shares,NASDAQ
NASDAQ,SCNX,SCNX,"Scienture Holdings, Inc. - Common Stock",NASDAQ
NASDAQ,SCOR,SCOR,"comScore, Inc. - Common Stock",NASDAQ
NASDAQ,SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,NASDAQ
NASDAQ,SCSC,SCSC,"ScanSource, Inc. - Common Stock",NASDAQ
NASDAQ,SCVL,SCVL,"Shoe Carnival, Inc. - Common Stock",NASDAQ
NASDAQ,SCWO,SCWO,374Water Inc. - common stock,NASDAQ
NASDAQ,SCYX,SCYX,"SCYNEXIS, Inc. - Common Stock",NASDAQ
