symbol,quote_symbol,name,country,is_bist,is_nasdaq,is_sp500,is_tefas,universe_tags
AHH,AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,TR,False,False,False,True,TEFAS
AHI,AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),TR,False,False,False,True,TEFAS
AHN,AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,TR,False,False,False,True,TEFAS
AHU,AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,TR,False,False,False,True,TEFAS
AHV,AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,TR,False,False,False,True,TEFAS
AHZ,AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,TR,False,False,False,True,TEFAS
AI1,AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,TR,False,False,False,True,TEFAS
AIH,AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
AII,AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,TR,False,False,False,True,TEFAS
AIM,AIM,AK PORTFÖY MİMKA SERBEST ÖZEL FON,TR,False,False,False,True,TEFAS
AIR,AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,TR,False,False,False,True,TEFAS
AIS,AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,TR,False,False,False,True,TEFAS
AJ1,AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
AJE,AJE,AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,TR,False,False,False,True,TEFAS
AJK,AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,TR,False,False,False,True,TEFAS
AJL,AJL,AK PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,TR,False,False,False,True,TEFAS
AJN,AJN,AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,TR,False,False,False,True,TEFAS
AK2,AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,TR,False,False,False,True,TEFAS
AK3,AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
AKBNK,AKBNK.IS,AKBANK T.A.Ş.,TR,True,False,False,False,BIST
AKCNS,AKCNS.IS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
AKE,AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,TR,False,False,False,True,TEFAS
AKENR,AKENR.IS,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,TR,True,False,False,False,BIST
AKFGY,AKFGY.IS,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,TR,True,False,False,False,BIST
AKFYE,AKFYE.IS,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,TR,True,False,False,False,BIST
AKGRT,AKGRT.IS,AKSİGORTA A.Ş.,TR,True,False,False,False,BIST
AKMGY,AKMGY.IS,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,TR,True,False,False,False,BIST
