quote_symbol,display_name_quote,last,change,change_percent,volume,open,high,low,prev_close,currency,exchange_name,exchange_code,market_state,market_time
AIR,,153.017931,-0.09135200000000054,-0.05966457304878147,,,,,153.109283,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AIS,,0.094706,0.00020299999999999485,0.21480799551336446,,,,,0.094503,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AJ1,,1.207265,0.007730000000000015,0.644416378013148,,,,,1.199535,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AJE,,58.54399,0.016266000000001668,0.027791957192802627,,,,,58.527724,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AJK,,59.948809,-0.0006200000000049499,-0.0010342050130368213,,,,,59.949429,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AJL,,59.549884,0.011699000000000126,0.019649574470568972,,,,,59.538185,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AJN,,57.84898,0.0029419999999973356,0.005085914440669793,,,,,57.846038,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AK2,,0.513419,-0.006369999999999987,-1.2254972690841837,,,,,0.519789,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AK3,,52.683091,-0.008780000000001564,-0.016662911818032738,,,,,52.691871,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AKE,,0.492366,-0.0010709999999999886,-0.21704898497680322,,,,,0.493437,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AKU,,0.948086,2.0999999999937735e-05,0.0022150379984429056,,,,,0.948065,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AL4,,3.527138,0.007769999999999833,0.22077827609956768,,,,,3.519368,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AL5,,50.240396,0.007792999999999495,0.015513828737880646,,,,,50.232603,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AL6,,3.448595,0.007301000000000002,0.21215856593479088,,,,,3.441294,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AL7,,3.333197,0.006746000000000141,0.20279871851412035,,,,,3.326451,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ALC,,0.366771,0.0016900000000000248,0.46291097044218266,,,,,0.365081,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ALE,,11.917813,0.02464500000000136,0.20721980888524708,,,,,11.893168,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AN1,,96.719348,0.02102699999998947,0.021744948394698052,,,,,96.698321,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ANL,,33.040806,0.06243400000000321,0.1893180172750893,,,,,32.978372,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ANZ,,20.377289,-0.0011529999999986273,-0.005657939895496561,,,,,20.378442,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
